Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
2024.0,Romario Shepherd,10.0,4.0,115.0,0.0,19.17,63.0,182.54,0.0,0.0,7.0,10.0,0.0,0.0,10.0,126.0,257.0,4.0,2/42,64.25,12.24,31.5,0.0,0.0
2024.0,Rovman Powell,26.0,3.0,360.0,27.0,15.65,244.0,147.54,0.0,1.0,21.0,28.0,18.0,0.0,26.0,18.0,35.0,1.0,1/18,35.0,11.67,18.0,0.0,0.0
2024.0,Ruturaj Gaikwad,66.0,8.0,2380.0,99.0,41.03,1739.0,136.86,2.0,18.0,217.0,91.0,36.0,0.0,66.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021.0,Sachin Baby,19.0,1.0,144.0,33.0,8.0,118.0,122.03,0.0,0.0,11.0,5.0,3.0,0.0,14.0,10.0,8.0,2.0,2/4,4.0,4.8,5.0,0.0,0.0
2024.0,Sai Kishore,10.0,1.0,13.0,13.0,1.44,6.0,216.67,0.0,0.0,0.0,2.0,5.0,0.0,10.0,186.0,258.0,13.0,4/33,19.85,8.32,14.31,1.0,0.0
2024.0,Sam Curran,59.0,13.0,883.0,63.0,19.2,647.0,136.48,0.0,5.0,74.0,37.0,22.0,0.0,59.0,1181.0,1900.0,58.0,3/28,32.76,9.65,20.36,1.0,0.0
2024.0,Sameer Rizvi,8.0,1.0,51.0,21.0,7.29,43.0,118.6,0.0,0.0,4.0,2.0,4.0,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Sandeep Sharma,126.0,21.0,54.0,9.0,0.51,69.0,78.26,0.0,0.0,4.0,0.0,21.0,0.0,127.0,2822.0,3709.0,137.0,3/15,27.07,7.89,20.6,2.0,1.0
2024.0,Sanju Samson,167.0,19.0,4419.0,119.0,29.86,3180.0,138.96,3.0,25.0,352.0,206.0,82.0,16.0,167.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Shahbaz Ahamad,55.0,9.0,536.0,45.0,11.65,440.0,121.82,0.0,1.0,28.0,25.0,21.0,0.0,55.0,537.0,837.0,21.0,3/23,39.86,9.35,25.57,0.0,0.0
